user_id,income_mean,income_std,current_debt,past_defaults,tx_volume,acceptance_history,repayment_history
0,1164.8069306540974,18.096304834528816,704.0264349714424,1,23,0.3531945521174733,0.8909286098846625
1,874.8617321101374,122.74844332342063,806.7071911342643,0,37,0.23378328301447537,0.6159726949932929
2,835.7786784178286,221.62478297333897,929.7261197548366,0,30,0.5665409313038217,0.36239269453822087
3,835.7852684137447,47.62150020010944,584.4214921060234,2,23,0.16116391545773812,0.5775200250935879
4,1795.3968216785945,201.8831978802819,515.0148945081385,0,31,0.41441948742909024,0.5014088307707772
5,1305.7166108878716,104.76536968389098,1114.6566277829154,1,29,0.25260829138524865,0.6928734097543319
6,744.8361504137974,80.06963328670554,363.97175362566395,0,27,0.5503292613017802,0.9085154339068943
7,1187.9184777782314,65.0324075158732,433.01073680083374,0,31,0.15304287193788066,0.9493578563680299
8,1041.8246063279612,206.6294806232698,494.6726611590532,0,35,0.305973170454672,0.6871499123059165
9,326.7286576206782,69.61692987881491,1364.7482817241364,1,34,0.25260754579335853,0.6556856461812725
10,560.5660779012345,243.85296832129373,1586.0237226828604,1,28,0.3327324915285832,0.8416771257665888
11,1075.7935330740115,225.5588884239751,491.79032595147436,0,37,0.29137084696543836,0.5235626537136777
12,1720.5701396658899,57.78543017822281,438.4164033584768,0,31,0.1934080609343925,0.9175924743299296
13,839.1456881952868,73.74404102743837,860.7712328324187,2,30,0.2713170878779123,0.4565959637495306
14,717.3367595525976,12.533932950978564,703.4216416393438,1,24,0.6528502586526819,0.5168539477861169
15,982.0823039129406,82.09255176100882,1271.029554844457,0,22,0.07464390141578868,0.9391707726172182
16,697.1358583558111,90.06717527741958,1064.4098980646227,0,30,0.22444788940272078,0.657342519935008
17,812.8944763231526,183.66459879438656,1975.4377880768309,1,30,0.21017996132335773,0.5654633424379236
18,927.514002328729,233.66900260690468,451.7267572453909,0,24,0.4151483173817741,0.9103215842125967
19,546.8759269161137,143.1470449478703,1260.1504338976451,1,29,0.7136000876101437,0.9007769282375971
